key,name,ra,dec,distance_modulus,rhalf,ellipticity,distance,rhalf_sph_physical,M_V,ref_structure,ref_distance,ref_m_v,distance_gc,Survey,dwarf_class,ugali_gr,simple_gr,In_Census,Pdet
crater_1,Crater/Laevens 1,174.0668,-10.8772,20.82,0.46,,145.88142602753473,19.503111928308165,-5.3,Weisz2016ApJ...822...32W,Weisz2016ApJ...822...32W,Weisz2016ApJ...822...32W,145.6505825015805,DELVE,SC,13.232225119616539,15.675945325145772,Yes,0.9958502
sagittarius_2,Sagittarius II,298.16875,-22.06806,19.03,1.85,0.03,63.97348354826482,33.82949220407649,-5.21,Richstein2024ApJ...967...72R,Joo2019ApJ...875..120J,Richstein2024ApJ...967...72R,57.03575936245776,DELVE,SC,54.22657544391864,37.5,Yes,0.99642724
balbinot_1,Balbinot 1,332.6791,14.9403,17.52,0.6,,31.915378551007585,5.521372990182872,-1.21,Balbinot2013ApJ...767..101B,Balbinot2013ApJ...767..101B,Balbinot2013ApJ...767..101B,31.19040515,PS1,A,13.007302800637069,8.353873349448786,Yes,0.502831
bliss_1,BLISS 1,177.51,-41.772,16.87,0.6,0.06,23.65919697485761,3.946742618677997,0,Mau2019ApJ...875..154M,Mau2019ApJ...875..154M,Mau2019ApJ...875..154M,22.29383778396148,DELVE,A,14.894370409569548,11.930183562319083,Yes,0.77360755
delve_1,DELVE 1,247.725,-0.972,16.68,0.97,0.2,21.67704104819696,5.310093155567314,-0.49,Mau2020ApJ...890..136M,Simon2024ApJ...976..256S,Mau2020ApJ...890..136M,15.52687138,DELVE,A,10.477348235589227,7.941738306752976,Yes,0.85703444
delve_3,DELVE 3,290.396,-60.784,18.73,0.4,,55.71857489319304,6.401719251278789,-1.3,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,49.34667147,DELVE,A,11.132685717479843,8.093487747715491,Yes,0.8114394
delve_4,DELVE 4,230.775,27.395,18.28,0.49,0.4,45.28975799036214,4.771575893,-0.2,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,42.617887215430045,PS1,A,4.105972564011008,3.8841032109397697,No,0.004817515
delve_5,DELVE 5,222.104,17.468,17.97,0.68,0.6,39.264493539959936,4.701770490443372,0.4000000000000021,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,Cerny2023ApJ...953....1C,36.32132455643831,PS1,A,5.122863137967545,4.717480407959498,No,0.00541325
delve_6,DELVE 6,33.07,-66.056,19.51,0.43,,79.79946872679768,9.839399788,-1.5,Cerny2023ApJ...953L..21C,Cerny2023ApJ...953L..21C,Cerny2023ApJ...953L..21C,78.33033066533022,DELVE,A,6.917920224985094,5.7864425329067615,No,0.3850436
des_1,DES 1,8.49917,-49.03861,19.4,0.245,0.41,75.85775750291836,4.128521453764058,-1.42,Conn2018ApJ...852...68C,Conn2018ApJ...852...68C,Conn2018ApJ...852...68C,74.28501919187346,DES,A,9.169384178,6.873576781099008,Yes,0.89807355
des_3,DES 3,325.05517,-52.5418,19.41,0.3,0.18,76.20790100254113,5.8919766646229865,-1.6,Luque2018MNRAS.478.2006L,Luque2018MNRAS.478.2006L,Luque2018MNRAS.478.2006L,71.10111986,DES,A,8.647245605820551,6.859763514973518,Yes,0.9105519
des_4,DES 4,82.09501,-61.72369,17.5,0.83,,31.6227766,7.634915056121078,-1.1,Torrealba2019MNRAS.484.2181T,Torrealba2019MNRAS.484.2181T,Torrealba2019MNRAS.484.2181T,32.54917467879381,MC,A,-,-,No,0.9340959
des_5,DES 5,77.50351,-62.58046,17,0.18,,25.118864315095824,1.3152206599803975,0.3000000000000007,Torrealba2019MNRAS.484.2181T,Torrealba2019MNRAS.484.2181T,Torrealba2019MNRAS.484.2181T,26.15615023132061,MC,A,-,-,No,0.9117463
eridanus_3,Eridanus III,35.6952,-52.2838,19.8,0.315,0.44,91.20108393559096,6.239591079794893,-2.07,Conn2018ApJ...852...68C,Conn2018ApJ...852...68C,Conn2018ApJ...852...68C,91.20772263,DES,A,12.813776613229606,10.365025780659352,Yes,0.9487699
gaia_03,Gaia 3,95.05864,-73.41445,18.4,0.53,,47.86300923,7.379076058969778,-3.3,Torrealba2019MNRAS.484.2181T,Torrealba2019MNRAS.484.2181T,Torrealba2019MNRAS.484.2181T,46.77952642528034,MC,A,-,-,No,0.9787971
hsc_1,HSC 1,334.309,3.48,18.3,0.44,0.46,45.70881896148752,4.233600958591953,-0.2,Homma2019PASJ...71...94H,Homma2019PASJ...71...94H,Homma2019PASJ...71...94H,43.96692147973668,PS1,A,4.003746185824947,3.422310837077046,No,0.003274613
kim_1,Kim 1,332.9214,7.0271,16.48,1.2,0.42,19.769696401118622,5.209737528004764,0.3000000000000007,Kim2015ApJ...799...73K,Kim2015ApJ...799...73K,Kim2015ApJ...799...73K,19.096168194489938,PS1,A,7.645114320906936,6.387536248,Yes,0.20720004
kim_2,Kim 2,317.202,-51.1671,20.1,0.42,0.12,104.71285480509007,11.832898783583238,-1.5,Kim2015ApJ...803...63K,Kim2015ApJ...803...63K,Kim2015ApJ...803...63K,98.99327241406488,DES,A,14.153707583332793,12.32256169238542,Yes,0.54347914
kim_3,Kim 3,200.688,-30.6,15.9,0.52,0.17,15.13561248436207,1.9340495822952035,0.7000000000000011,Kim2016ApJ...820..119K,Kim2016ApJ...820..119K,Kim2016ApJ...820..119K,12.583138373637484,DELVE,A,8.912462711122467,8.388546850416782,Yes,0.8317295
